year,year_index,species,reporting_rate,se,lower,upper
2000,0,Hawaiʻi ʻamakihi,0.3687095844714667,0.02,0.32950958447146667,0.4079095844714667
2001,1,Hawaiʻi ʻamakihi,0.35339700040806926,0.02,0.31419700040806925,0.3925970004080693
2002,2,Hawaiʻi ʻamakihi,0.3660574525710511,0.02,0.3268574525710511,0.4052574525710511
2003,3,Hawaiʻi ʻamakihi,0.3708969085600315,0.02,0.3316969085600315,0.4100969085600315
2004,4,Hawaiʻi ʻamakihi,0.3690912293769918,0.02,0.3298912293769918,0.4082912293769918
2005,5,Hawaiʻi ʻamakihi,0.36259366325167297,0.02,0.32339366325167296,0.401793663251673
2006,6,Hawaiʻi ʻamakihi,0.37552702656131814,0.02,0.33632702656131813,0.41472702656131816
2007,7,Hawaiʻi ʻamakihi,0.35463049177742834,0.02,0.3154304917774283,0.39383049177742835
2008,8,Hawaiʻi ʻamakihi,0.3697936781314858,0.02,0.33059367813148577,0.4089936781314858
2009,9,Hawaiʻi ʻamakihi,0.3424834231717492,0.02,0.30328342317174917,0.3816834231717492
2010,10,Hawaiʻi ʻamakihi,0.3497978717659323,0.02,0.3105978717659323,0.3889978717659323
2011,11,Hawaiʻi ʻamakihi,0.35404310054805826,0.02,0.31484310054805825,0.3932431005480583
2012,12,Hawaiʻi ʻamakihi,0.3130561888242148,0.02,0.2738561888242148,0.35225618882421483
2013,13,Hawaiʻi ʻamakihi,0.3216483577985949,0.02,0.2824483577985949,0.3608483577985949
2014,14,Hawaiʻi ʻamakihi,0.3224829225161163,0.02,0.2832829225161163,0.36168292251611633
2015,15,Hawaiʻi ʻamakihi,0.33137078830599964,0.02,0.29217078830599963,0.37057078830599965
2016,16,Hawaiʻi ʻamakihi,0.3248768914600469,0.02,0.2856768914600469,0.3640768914600469
2017,17,Hawaiʻi ʻamakihi,0.3048827800034059,0.02,0.2656827800034059,0.3440827800034059
2018,18,Hawaiʻi ʻamakihi,0.31116844803915694,0.02,0.27196844803915693,0.35036844803915695
2019,19,Hawaiʻi ʻamakihi,0.35262578431573144,0.02,0.3134257843157314,0.39182578431573145
2020,20,Hawaiʻi ʻamakihi,0.339298040290106,0.02,0.300098040290106,0.37849804029010603
2021,21,Hawaiʻi ʻamakihi,0.32605691531182107,0.02,0.28685691531182106,0.3652569153118211
2022,22,Hawaiʻi ʻamakihi,0.3418807514924768,0.02,0.3026807514924768,0.38108075149247683
2023,23,Hawaiʻi ʻamakihi,0.35358359190301075,0.02,0.31438359190301074,0.39278359190301076
2024,24,Hawaiʻi ʻamakihi,0.3564542355242442,0.02,0.3172542355242442,0.3956542355242442
2000,0,Maui parrotbill,0.17655624694715039,0.015,0.14715624694715038,0.2059562469471504
2001,1,Maui parrotbill,0.17645719167631777,0.015,0.14705719167631776,0.20585719167631777
2002,2,Maui parrotbill,0.16243354404563795,0.015,0.13303354404563794,0.19183354404563796
2003,3,Maui parrotbill,0.17733709152638796,0.015,0.14793709152638795,0.20673709152638797
2004,4,Maui parrotbill,0.1644766298166511,0.015,0.13507662981665108,0.1938766298166511
2005,5,Maui parrotbill,0.1679179804005352,0.015,0.1385179804005352,0.19731798040053522
2006,6,Maui parrotbill,0.16344240414223973,0.015,0.13404240414223972,0.19284240414223974
2007,7,Maui parrotbill,0.1587607333770066,0.015,0.1293607333770066,0.18816073337700662
2008,8,Maui parrotbill,0.13786159584932167,0.015,0.10846159584932168,0.16726159584932168
2009,9,Maui parrotbill,0.13909947744002493,0.015,0.10969947744002494,0.16849947744002494
2010,10,Maui parrotbill,0.11420951060494985,0.015,0.08480951060494986,0.14360951060494986
2011,11,Maui parrotbill,0.1155115113418479,0.015,0.0861115113418479,0.1449115113418479
2012,12,Maui parrotbill,0.11002342237590113,0.015,0.08062342237590113,0.13942342237590113
2013,13,Maui parrotbill,0.0938187015546657,0.015,0.06441870155466571,0.1232187015546657
2014,14,Maui parrotbill,0.11083884775215948,0.015,0.08143884775215948,0.14023884775215947
2015,15,Maui parrotbill,0.11041266481601061,0.015,0.08101266481601062,0.13981266481601062
2016,16,Maui parrotbill,0.10444393525041461,0.015,0.07504393525041461,0.1338439352504146
2017,17,Maui parrotbill,0.111818212694705,0.015,0.082418212694705,0.141218212694705
2018,18,Maui parrotbill,0.09773570429418062,0.015,0.06833570429418062,0.1271357042941806
2019,19,Maui parrotbill,0.08939710902089754,0.015,0.05999710902089754,0.11879710902089753
2020,20,Maui parrotbill,0.0993774101800968,0.015,0.0699774101800968,0.1287774101800968
2021,21,Maui parrotbill,0.08374564585521287,0.015,0.05434564585521287,0.11314564585521286
2022,22,Maui parrotbill,0.09503214763690411,0.015,0.06563214763690411,0.1244321476369041
2023,23,Maui parrotbill,0.07253154969189521,0.015,0.04313154969189521,0.1019315496918952
2024,24,Maui parrotbill,0.07345056881743381,0.015,0.04405056881743381,0.1028505688174338
2000,0,ʻalalā,0.10160962632601973,0.008,0.08592962632601973,0.11728962632601973
2001,1,ʻalalā,0.08980038046145297,0.008,0.07412038046145297,0.10548038046145297
2002,2,ʻalalā,0.09457166086238734,0.008,0.07889166086238734,0.11025166086238734
2003,3,ʻalalā,0.0816395300401151,0.008,0.0659595300401151,0.0973195300401151
2004,4,ʻalalā,0.06928641713419409,0.008,0.05360641713419409,0.08496641713419409
2005,5,ʻalalā,0.05967906253896848,0.008,0.04399906253896848,0.07535906253896849
2006,6,ʻalalā,0.05088376252549768,0.008,0.03520376252549768,0.06656376252549767
2007,7,ʻalalā,0.03763599192696301,0.008,0.021955991926963007,0.053315991926963006
2008,8,ʻalalā,0.013034634256337978,0.008,0,0.028714634256337978
2009,9,ʻalalā,0.021582358568152018,0.008,0.005902358568152018,0.03726235856815202
2010,10,ʻalalā,0.01160308731758567,0.008,0,0.02728308731758567
2011,11,ʻalalā,0.008171384525717092,0.008,0,0.02385138452571709
2012,12,ʻalalā,0.0037098062056110655,0.008,0,0.019389806205611065
2013,13,ʻalalā,4.133551516944953e-4,0.008,0,0.016093355151694494
2014,14,ʻalalā,0,0.008,0,0.01568
2015,15,ʻalalā,0,0.008,0,0.01568
